delivery_date,origin_id,destination_id,distance_km
DEMO_DATE_1,DEPOT_1,DEPOT_1,0.0
DEMO_DATE_1,DEPOT_1,DEMO_C001,5.6191
DEMO_DATE_1,DEPOT_1,DEMO_C002,17.9276
DEMO_DATE_1,DEPOT_1,DEMO_C003,13.7054
DEMO_DATE_1,DEPOT_1,DEMO_C004,9.8622
DEMO_DATE_1,DEPOT_1,DEMO_C005,12.4856
DEMO_DATE_1,DEPOT_1,DEMO_C006,2.1591
DEMO_DATE_1,DEPOT_1,DEMO_C007,4.8608
DEMO_DATE_1,DEPOT_1,DEMO_C008,6.1568
DEMO_DATE_1,DEPOT_1,DEMO_C_BIG,12.518
DEMO_DATE_1,DEMO_C001,DEPOT_1,5.6191
DEMO_DATE_1,DEMO_C001,DEMO_C001,0.0
DEMO_DATE_1,DEMO_C001,DEMO_C002,18.4754
DEMO_DATE_1,DEMO_C001,DEMO_C003,8.7956
DEMO_DATE_1,DEMO_C001,DEMO_C004,5.3696
DEMO_DATE_1,DEMO_C001,DEMO_C005,17.3951
DEMO_DATE_1,DEMO_C001,DEMO_C006,5.3405
DEMO_DATE_1,DEMO_C001,DEMO_C007,5.2745
DEMO_DATE_1,DEMO_C001,DEMO_C008,1.932
DEMO_DATE_1,DEMO_C001,DEMO_C_BIG,17.7004
DEMO_DATE_1,DEMO_C002,DEPOT_1,17.9276
DEMO_DATE_1,DEMO_C002,DEMO_C001,18.4754
DEMO_DATE_1,DEMO_C002,DEMO_C002,0.0
DEMO_DATE_1,DEMO_C002,DEMO_C003,17.1293
DEMO_DATE_1,DEMO_C002,DEMO_C004,15.7495
DEMO_DATE_1,DEMO_C002,DEMO_C005,15.5882
DEMO_DATE_1,DEMO_C002,DEMO_C006,15.8545
DEMO_DATE_1,DEMO_C002,DEMO_C007,13.7632
DEMO_DATE_1,DEMO_C002,DEMO_C008,20.3925
DEMO_DATE_1,DEMO_C002,DEMO_C_BIG,17.1968
DEMO_DATE_1,DEMO_C003,DEPOT_1,13.7054
DEMO_DATE_1,DEMO_C003,DEMO_C001,8.7956
DEMO_DATE_1,DEMO_C003,DEMO_C002,17.1293
DEMO_DATE_1,DEMO_C003,DEMO_C003,0.0
DEMO_DATE_1,DEMO_C003,DEMO_C004,3.8848
DEMO_DATE_1,DEMO_C003,DEMO_C005,22.9576
DEMO_DATE_1,DEMO_C003,DEMO_C006,12.3875
DEMO_DATE_1,DEMO_C003,DEMO_C007,10.2617
DEMO_DATE_1,DEMO_C003,DEMO_C008,9.9083
DEMO_DATE_1,DEMO_C003,DEMO_C_BIG,23.7692
DEMO_DATE_1,DEMO_C004,DEPOT_1,9.8622
DEMO_DATE_1,DEMO_C004,DEMO_C001,5.3696
DEMO_DATE_1,DEMO_C004,DEMO_C002,15.7495
DEMO_DATE_1,DEMO_C004,DEMO_C003,3.8848
DEMO_DATE_1,DEMO_C004,DEMO_C004,0.0
DEMO_DATE_1,DEMO_C004,DEMO_C005,19.359
DEMO_DATE_1,DEMO_C004,DEMO_C006,8.5028
DEMO_DATE_1,DEMO_C004,DEMO_C007,6.4624
DEMO_DATE_1,DEMO_C004,DEMO_C008,6.8818
DEMO_DATE_1,DEMO_C004,DEMO_C_BIG,20.0791
DEMO_DATE_1,DEMO_C005,DEPOT_1,12.4856
DEMO_DATE_1,DEMO_C005,DEMO_C001,17.3951
DEMO_DATE_1,DEMO_C005,DEMO_C002,15.5882
DEMO_DATE_1,DEMO_C005,DEMO_C003,22.9576
DEMO_DATE_1,DEMO_C005,DEMO_C004,19.359
DEMO_DATE_1,DEMO_C005,DEMO_C005,0.0
DEMO_DATE_1,DEMO_C005,DEMO_C006,12.0579
