delivery_date,origin_id,destination_id,travel_time_min_p50
DEMO_DATE_1,DEPOT_1,DEPOT_1,0.0
DEMO_DATE_1,DEPOT_1,DEMO_C001,14.0478
DEMO_DATE_1,DEPOT_1,DEMO_C002,44.8191
DEMO_DATE_1,DEPOT_1,DEMO_C003,34.2635
DEMO_DATE_1,DEPOT_1,DEMO_C004,24.6555
DEMO_DATE_1,DEPOT_1,DEMO_C005,31.2139
DEMO_DATE_1,DEPOT_1,DEMO_C006,5.3978
DEMO_DATE_1,DEPOT_1,DEMO_C007,12.1519
DEMO_DATE_1,DEPOT_1,DEMO_C008,15.392
DEMO_DATE_1,DEPOT_1,DEMO_C_BIG,31.295
DEMO_DATE_1,DEMO_C001,DEPOT_1,14.0478
DEMO_DATE_1,DEMO_C001,DEMO_C001,0.0
DEMO_DATE_1,DEMO_C001,DEMO_C002,46.1886
DEMO_DATE_1,DEMO_C001,DEMO_C003,21.989
DEMO_DATE_1,DEMO_C001,DEMO_C004,13.4239
DEMO_DATE_1,DEMO_C001,DEMO_C005,43.4877
DEMO_DATE_1,DEMO_C001,DEMO_C006,13.3511
DEMO_DATE_1,DEMO_C001,DEMO_C007,13.1863
DEMO_DATE_1,DEMO_C001,DEMO_C008,4.8301
DEMO_DATE_1,DEMO_C001,DEMO_C_BIG,44.251
DEMO_DATE_1,DEMO_C002,DEPOT_1,44.8191
DEMO_DATE_1,DEMO_C002,DEMO_C001,46.1886
DEMO_DATE_1,DEMO_C002,DEMO_C002,0.0
DEMO_DATE_1,DEMO_C002,DEMO_C003,42.8233
DEMO_DATE_1,DEMO_C002,DEMO_C004,39.3738
DEMO_DATE_1,DEMO_C002,DEMO_C005,38.9705
DEMO_DATE_1,DEMO_C002,DEMO_C006,39.6363
DEMO_DATE_1,DEMO_C002,DEMO_C007,34.4079
DEMO_DATE_1,DEMO_C002,DEMO_C008,50.9813
DEMO_DATE_1,DEMO_C002,DEMO_C_BIG,42.9921
DEMO_DATE_1,DEMO_C003,DEPOT_1,34.2635
DEMO_DATE_1,DEMO_C003,DEMO_C001,21.989
DEMO_DATE_1,DEMO_C003,DEMO_C002,42.8233
DEMO_DATE_1,DEMO_C003,DEMO_C003,0.0
DEMO_DATE_1,DEMO_C003,DEMO_C004,9.7121
DEMO_DATE_1,DEMO_C003,DEMO_C005,57.3941
DEMO_DATE_1,DEMO_C003,DEMO_C006,30.9688
DEMO_DATE_1,DEMO_C003,DEMO_C007,25.6543
DEMO_DATE_1,DEMO_C003,DEMO_C008,24.7708
DEMO_DATE_1,DEMO_C003,DEMO_C_BIG,59.4231
DEMO_DATE_1,DEMO_C004,DEPOT_1,24.6555
DEMO_DATE_1,DEMO_C004,DEMO_C001,13.4239
DEMO_DATE_1,DEMO_C004,DEMO_C002,39.3738
DEMO_DATE_1,DEMO_C004,DEMO_C003,9.7121
DEMO_DATE_1,DEMO_C004,DEMO_C004,0.0
DEMO_DATE_1,DEMO_C004,DEMO_C005,48.3974
DEMO_DATE_1,DEMO_C004,DEMO_C006,21.2571
DEMO_DATE_1,DEMO_C004,DEMO_C007,16.156
DEMO_DATE_1,DEMO_C004,DEMO_C008,17.2045
DEMO_DATE_1,DEMO_C004,DEMO_C_BIG,50.1977
DEMO_DATE_1,DEMO_C005,DEPOT_1,31.2139
DEMO_DATE_1,DEMO_C005,DEMO_C001,43.4877
DEMO_DATE_1,DEMO_C005,DEMO_C002,38.9705
DEMO_DATE_1,DEMO_C005,DEMO_C003,57.3941
DEMO_DATE_1,DEMO_C005,DEMO_C004,48.3974
DEMO_DATE_1,DEMO_C005,DEMO_C005,0.0
DEMO_DATE_1,DEMO_C005,DEMO_C006,30.1449
DEMO_DATE_1,DEMO_C005,DEMO_C007,32.5373
DEMO_DATE_1,DEMO_C005,DEMO_C008,46.1682
DEMO_DATE_1,DEMO_C005,DEMO_C_BIG,4.1352
DEMO_DATE_1,DEMO_C006,DEPOT_1,5.3978
DEMO_DATE_1,DEMO_C006,DEMO_C001,13.3511
DEMO_DATE_1,DEMO_C006,DEMO_C002,39.6363
DEMO_DATE_1,DEMO_C006,DEMO_C003,30.9688
DEMO_DATE_1,DEMO_C006,DEMO_C004,21.2571
DEMO_DATE_1,DEMO_C006,DEMO_C005,30.1449
DEMO_DATE_1,DEMO_C006,DEMO_C006,0.0
DEMO_DATE_1,DEMO_C006,DEMO_C007,6.9477
DEMO_DATE_1,DEMO_C006,DEMO_C008,16.2764
DEMO_DATE_1,DEMO_C006,DEMO_C_BIG,30.938
DEMO_DATE_1,DEMO_C007,DEPOT_1,12.1519
