delivery_date,vehicle_id,sequence,node_id
DEMO_DATE_1,V1,1,DEMO_C001
DEMO_DATE_1,V1,2,DEMO_C008
DEMO_DATE_1,V1,3,DEMO_C_BIG__SPLIT1of2
DEMO_DATE_1,V1,4,DEMO_C003
DEMO_DATE_1,V1,5,DEMO_C007
DEMO_DATE_1,V1,6,DEMO_C002
DEMO_DATE_1,V1,7,DEMO_C004
DEMO_DATE_1,V1,8,DEMO_C006
DEMO_DATE_1,V1,9,DEMO_C005
DEMO_DATE_1,V1,10,DEMO_C_BIG__SPLIT2of2
DEMO_DATE_2,V1,1,DEMO_C_BIG__SPLIT1of2
DEMO_DATE_2,V1,2,DEMO_C005
DEMO_DATE_2,V1,3,DEMO_C003
DEMO_DATE_2,V1,4,DEMO_C007
DEMO_DATE_2,V1,5,DEMO_C002
DEMO_DATE_2,V1,6,DEMO_C001
DEMO_DATE_2,V1,7,DEMO_C006
DEMO_DATE_2,V1,8,DEMO_C_BIG__SPLIT2of2
DEMO_DATE_2,V1,9,DEMO_C008
DEMO_DATE_2,V1,10,DEMO_C004
DEMO_DATE_3,V1,1,DEMO_C003
DEMO_DATE_3,V1,2,DEMO_C006
DEMO_DATE_3,V1,3,DEMO_C001
DEMO_DATE_3,V1,4,DEMO_C004
DEMO_DATE_3,V1,5,DEMO_C008
DEMO_DATE_3,V1,6,DEMO_C007
DEMO_DATE_3,V1,7,DEMO_C005
DEMO_DATE_3,V1,8,DEMO_C002
DEMO_DATE_3,V1,9,DEMO_C_BIG__SPLIT1of2
DEMO_DATE_3,V1,10,DEMO_C_BIG__SPLIT2of2
